date,close,high,low,open,volume,ticker,return,return_lag_1,return_lag_2,volatility_5d,volatility_20d,momentum_5d,volume_change,rsi_14,target,sentiment_mean,sentiment_std,sentiment_count,sentiment_lag_1,sentiment_rolling_3d,sentiment_rolling_7d
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400,AAPL,-0.04535179648407322,-0.0014504558861254152,0.02071653163807147,0.03162227850004344,0.017786481796010754,-0.02764595039162754,0.5747464163757898,49.368824731137224,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,74.40367126464844,75.56795795185045,72.85128411079334,73.35267280813538,173788400,AAPL,-0.002750044587375932,-0.04535179648407322,-0.0014504558861254152,0.028607981213240517,0.017620839398499528,-0.0009387995699797758,-0.1292660294886877,42.98753730972109,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,76.86000061035156,77.05043515977154,75.60169956180454,76.00666815397705,136616400,AAPL,0.03248030750120386,-0.002750044587375932,-0.04535179648407322,0.02978229563341317,0.018876722774797662,0.0036511916011334744,-0.21389229660897968,54.739619371694396,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,77.48674774169922,78.28463523931488,76.88411323556181,77.98572352193352,118826800,AAPL,0.008121331778587565,0.03248030750120386,-0.002750044587375932,0.028157394954525856,0.01881587323943958,-0.008910719786971777,-0.13021569884728335,57.61868190577954,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600,AAPL,0.01162924114922951,0.008121331778587565,0.03248030750120386,0.0287971528596998,0.018692194755250104,0.004137575585343001,-0.11277927201607718,57.52909503054106,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,77.32754516601562,78.141823360646,76.83704482888538,77.89294895065062,117684000,AAPL,-0.013685932799749783,0.01162924114922951,0.008121331778587565,0.017282781460269035,0.01859145906687929,0.03644325333205711,0.11627536385849346,51.53375042897495,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,77.69481658935547,77.69481658935547,75.83430131081457,75.914034625019,109348800,AAPL,0.004738311380800382,-0.013685932799749783,0.01162924114922951,0.01651691484639074,0.018603151582933724,0.04423364154976528,-0.07082696033445501,54.317877775340044,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,77.2260513305664,78.26262851927434,77.00858949259958,78.19014369789785,94323200,AAPL,-0.006051692011718827,0.004738311380800382,-0.013685932799749783,0.010524491837475707,0.018109720326604822,0.004762564627998955,-0.137409829828951,51.98197622155105,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,79.05998992919922,79.0648197921596,77.67547099896561,77.67547099896561,113730400,AAPL,0.02347007791185735,-0.006051692011718827,0.004738311380800382,0.01459161650719692,0.0184803540846516,0.020303371006670456,0.20575213733206676,55.95835282804478,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600,AAPL,-0.00714630760853416,0.02347007791185735,-0.006051692011718827,0.01455972836257887,0.01854551537942248,0.0013253343530108541,-0.16691051820797254,54.89963726760208,1,0.0,0.0,0.0,0.0,0.0,0.0
