ticker,experiment,model,accuracy,balanced_accuracy,precision,recall,f1,auc,market_total_return,total_return,excess_return,sharpe,max_drawdown,hit_ratio,turnover,n_trades
AAPL,market_only,logistic_regression,0.5391498881431768,0.5186498902349784,0.5752508361204013,0.6852589641434262,0.6254545454545455,0.5190462639238963,0.540872305269871,0.1271160486955898,-0.41375625657428117,0.23798371539122437,-0.24323962898814944,0.5291479820627802,0.5919282511210763,132
AAPL,market_only,random_forest,0.5190156599552572,0.5169322709163346,0.5775862068965517,0.5338645418326693,0.5548654244306418,0.5030896820879747,0.540872305269871,0.42653247364371105,-0.1143398316261599,0.7040804581311682,-0.21560829030912654,0.5,0.6860986547085202,153
AAPL,market_only,gradient_boosting,0.4720357941834452,0.47342263598666556,0.5345622119815668,0.46215139442231074,0.49572649572649574,0.4879665013415725,0.540872305269871,-0.5327398968391421,-1.073612202109013,-1.506327587868325,-0.5131617089957583,0.45067264573991034,0.8834080717488789,197
AMZN,market_only,logistic_regression,0.5078299776286354,0.5045284761828259,0.532,0.5635593220338984,0.5473251028806584,0.5126114547353201,0.3052484240578246,-0.060196531670618336,-0.36544495572844293,-0.11005222402698767,-0.2874218483229991,0.4798206278026906,0.8789237668161435,196
AMZN,market_only,random_forest,0.46756152125279643,0.46137239938950925,0.4963235294117647,0.5720338983050848,0.531496062992126,0.4610209655394007,0.3052484240578246,-0.32857061078095184,-0.6338190348387764,-0.7071232966020748,-0.39034161578449145,0.4551569506726457,0.726457399103139,162
AMZN,market_only,gradient_boosting,0.49440715883668906,0.4883022732749618,0.5183823529411765,0.597457627118644,0.5551181102362205,0.4743553699092296,0.3052484240578246,-0.3611431231548936,-0.6663915472127182,-0.7941493772348877,-0.4609528783477451,0.47757847533632286,0.8699551569506726,194
GOOGL,market_only,logistic_regression,0.5212527964205816,0.5206012683958046,0.5814977973568282,0.5258964143426295,0.5523012552301255,0.5472802666883487,1.1260010556563427,0.12459927028654061,-1.001401785369802,0.2212994397104114,-0.34533355849885483,0.5089686098654709,0.695067264573991,155
GOOGL,market_only,random_forest,0.5257270693512305,0.520113423855598,0.5795918367346938,0.5657370517928287,0.5725806451612904,0.5385397186763151,1.1260010556563427,0.16979962597947362,-0.956201429676869,0.2945087082502957,-0.23606824215814826,0.5179372197309418,0.6547085201793722,146
GOOGL,market_only,gradient_boosting,0.5078299776286354,0.49020245548418573,0.554006968641115,0.6334661354581673,0.5910780669144982,0.4908325880152858,1.1260010556563427,-0.08005969096799503,-1.2060607466243378,-0.15555498542077068,-0.39138689264679793,0.49327354260089684,0.8340807174887892,186
META,market_only,logistic_regression,0.5315315315315315,0.5241753551612707,0.5379537953795379,0.7056277056277056,0.6104868913857678,0.5464910676178283,0.3032424821072852,1.0374118065731186,0.7341693244658334,1.1625215340416084,-0.28296552375006245,0.5282167042889391,0.45146726862302483,100
META,market_only,random_forest,0.527027027027027,0.5236875800256082,0.5405405405405406,0.6060606060606061,0.5714285714285714,0.5186065890291243,0.3032424821072852,1.546085161336753,1.2428426792294678,1.527734207407047,-0.18356570060660538,0.5079006772009029,0.6636568848758465,147
META,market_only,gradient_boosting,0.5247747747747747,0.5207914151576123,0.5375939849624061,0.6190476190476191,0.5754527162977867,0.5093185374875515,0.3032424821072852,0.587967929066628,0.28472544695934277,0.7523825670326371,-0.40734446986164485,0.5079006772009029,0.8623024830699775,191
