date,isin,sentiment_mean,sentiment_std,sentiment_count,sentiment_positive_ratio,sentiment_negative_ratio
2026-05-20,FR0000073272,0.2732,0.0,1,1.0,0.0
2026-05-20,FR0000120628,0.2732,0.0,1,1.0,0.0
2026-05-20,FR0000133308,0.8316,0.0,1,1.0,0.0
2026-05-20,FR0010208488,-0.2732,0.0,1,0.0,1.0
2026-05-21,FR0000052292,0.5267,0.0,1,1.0,0.0
2026-05-21,FR0000073272,-0.0772,0.0,1,0.0,1.0
2026-05-21,FR0000120644,0.3182,0.0,1,1.0,0.0
2026-05-21,FR0000130577,0.42775,0.6049298513050914,2,0.5,0.0
2026-05-22,FR0000052292,0.6597,0.0,1,1.0,0.0
2026-05-22,FR0000120321,0.03394999999999998,0.6968537328593425,2,0.5,0.5
2026-05-22,FR0010220475,-0.7269,0.0,1,0.0,1.0
2026-05-22,FR0010307819,0.9274,0.0,1,1.0,0.0
2026-05-23,FR0000073272,0.5719,0.0,1,1.0,0.0
2026-05-23,FR0000120644,0.8908,0.0,1,1.0,0.0
2026-05-24,FR0000121667,0.7184,0.0,1,1.0,0.0
2026-05-24,FR0000125486,0.4019,0.0,1,1.0,0.0
2026-05-25,FR0000045072,0.6705,0.0,1,1.0,0.0
2026-05-25,FR0000120073,0.9554,0.0,1,1.0,0.0
2026-05-25,FR0000120321,0.82605,0.06752869760331534,2,1.0,0.0
2026-05-25,FR0000124141,0.8738,0.0,1,1.0,0.0
2026-05-26,FR0000052292,0.4703,0.0,1,1.0,0.0
2026-05-26,FR0000120321,0.8124,0.0,1,1.0,0.0
2026-05-26,FR0014003TT8,0.0,0.0,1,0.0,0.0
2026-05-27,FR0000120693,0.10194999999999999,0.39576766543011066,2,0.5,0.5
2026-05-27,FR0000121972,0.8442,0.0,1,1.0,0.0
2026-05-27,FR0000125007,0.8689,0.0,1,1.0,0.0
2026-05-27,FR0000125338,0.91,0.0,1,1.0,0.0
2026-05-27,FR0000130577,0.7579,0.0,1,1.0,0.0
2026-05-28,FR0000052292,0.3034,0.0,1,1.0,0.0
2026-05-28,FR0000073272,0.1779,0.0,1,1.0,0.0
2026-05-28,FR0000120321,0.8225,0.0,1,1.0,0.0
2026-05-28,FR0000120693,0.91,0.0,1,1.0,0.0
2026-05-28,FR0010208488,0.93,0.0,1,1.0,0.0
2026-05-29,FR0000052292,0.0,0.0,1,0.0,0.0
2026-05-29,FR0000120321,0.0,0.0,1,0.0,0.0
2026-05-29,FR0000120693,-0.7579,0.0,1,0.0,1.0
2026-05-29,FR0000121485,0.0,0.0,1,0.0,0.0
2026-05-29,FR0000121667,0.3182,0.0,1,1.0,0.0
2026-05-29,FR0010208488,0.86815,0.007990306627407932,2,1.0,0.0
2026-05-29,FR001400AJ45,-0.26820000000000005,0.34280536751923824,2,0.0,0.5
2026-05-30,FR0000121972,0.7579,0.0,1,1.0,0.0
2026-05-30,FR0000130809,0.0516,0.0,1,1.0,0.0
2026-05-30,FR0010307819,0.1779,0.0,1,1.0,0.0
2026-06-01,FR0000120321,0.6249,0.0,1,1.0,0.0
2026-06-01,FR0000120693,0.0,0.0,1,0.0,0.0
2026-06-01,FR0000121485,0.31245,0.4418710275634736,2,0.5,0.0
2026-06-01,FR0010208488,0.8555,0.0,1,1.0,0.0
2026-06-01,FR0014003TT8,-0.3089,0.0,1,0.0,1.0
2026-06-02,FR0000052292,0.4767,0.0,1,1.0,0.0
2026-06-02,FR0000120321,0.8916,0.0,1,1.0,0.0
2026-06-02,FR0000121667,0.8555,0.0,1,1.0,0.0
2026-06-02,FR0000121972,0.8422,0.0028284271247461927,2,1.0,0.0
2026-06-02,FR0000125338,0.9024000000000001,0.06632661607529819,2,1.0,0.0
2026-06-02,FR0010307819,0.9337,0.0,1,1.0,0.0
2026-06-03,FR0000120073,0.0,0.0,1,0.0,0.0
2026-06-03,FR0000120644,0.0,0.0,1,0.0,0.0
2026-06-03,FR0000121485,0.9081,0.0,1,1.0,0.0
2026-06-03,FR0000121972,-0.2363,0.0,1,0.0,1.0
2026-06-03,FR0000125338,0.8173,0.0,1,1.0,0.0
2026-06-03,FR0014003TT8,0.6124,0.0,1,1.0,0.0
2026-06-03,FR001400AJ45,0.82195,0.09058037866999677,2,1.0,0.0
2026-06-04,FR0000073272,0.6369,0.0,1,1.0,0.0
2026-06-04,FR0000120644,0.296,0.0,1,1.0,0.0
2026-06-04,FR0000121485,0.2023,0.0,1,1.0,0.0
2026-06-04,FR0000121972,0.58995,0.516541503656773,2,1.0,0.0
2026-06-04,FR0000124141,0.8519,0.0,1,1.0,0.0
2026-06-04,FR0000125338,0.46426666666666666,0.43058618572050517,3,0.6666666666666666,0.0
2026-06-04,FR0000125486,0.5106,0.0,1,1.0,0.0
2026-06-05,FR0000120693,0.7096,0.0,1,1.0,0.0
2026-06-05,FR0000121485,0.4215,0.0,1,1.0,0.0
2026-06-05,FR0000121972,0.0,0.0,1,0.0,0.0
2026-06-05,FR0000125338,0.6430666666666666,0.23054267139367784,3,1.0,0.0
2026-06-05,FR0000130809,-0.2732,0.0,1,0.0,1.0
2026-06-07,FR0000121485,-0.0009,0.0,1,0.0,0.0
2026-06-08,FR0000120271,0.0094,0.0,1,0.0,0.0
2026-06-08,FR0000130809,0.4019,0.0,1,1.0,0.0
2026-06-08,FR0000133308,0.7269,0.0,1,1.0,0.0
2026-06-09,FR0000120073,0.6597,0.0,1,1.0,0.0
2026-06-09,FR0000130809,0.07419999999999999,1.196283252411401,2,0.5,0.5
2026-06-09,FR0000133308,0.9337,0.0,1,1.0,0.0
2026-06-09,FR0010208488,-0.2732,0.0,1,0.0,1.0
2026-06-09,NL0000226223,0.2287,0.0,1,1.0,0.0
2026-06-10,FR0000073272,0.6808,0.0,1,1.0,0.0
2026-06-10,FR0000120073,0.9658,0.0,1,1.0,0.0
